Order_Id,Order_Date,Order_Price,Items,Restaurant_Name,Restaurant_Rating,Restaurant_Type,Order_Time,Order_Month,Order_Day,Order_Year,Meal_Type,Meal,Rating >= 4, 
3638468654,2022-01-17,₹142.60,1 x KitKat White Chocolate Waffle,XO Belgian Waffle,4.3,Dessert Parlor',23:37:00,January,Monday,2022,Veg,Dinner,Yes,
3110999423,2022-01-17,₹101.78,1 x Brownie Blast Sundae,Sundae Everyday Ice Creams,4.2,NA,23:33:00,January,Monday,2022,Veg,Dinner,Yes,
2453120959,2022-01-17,₹279.32,"1 x 2 Chapati with Rice chicken Meal, 1 x 4 Chapati with Chicken Curry and Pickle Meal",Grub@99,3.6,Quick Bites',14:49:00,January,Monday,2022,Non Veg,Lunch,No,
3932158375,2022-01-16,₹125.07,1 x [Under 600 Calories] Chole Kulcha Lunchbox,LunchBox - Meals and Thalis,4.2,NA,18:47:00,January,Sunday,2022,Veg,Snacks,Yes,
2812650336,2022-01-09,₹157.65,"1 x Crispy Veg Double Patty Burger, 1 x Tikki Twist Double Patty Burger, 1 x Veggie Strips (5 Pieces)",Burger King,4.1,Quick Bites',22:27:00,January,Sunday,2022,Veg,Dinner,Yes,
3004869453,2022-01-08,₹265.62,"1 x Boneless Special Chicken BiryaniSpecial Chicken Biryani, 1 x Gulab Jamun [2 Pieces]",Biryani Pot,4,Casual Dining',16:10:00,January,Saturday,2022,Non Veg,Snacks,Yes,
2154506380,2022-01-08,₹189.35,1 x Devils Death By Chocolate,The Bangalore Creamery,4.2,NA,2:33:00,January,Saturday,2022,Veg,Dinner,Yes,
2656404958,2022-01-07,₹635.70,1 x Funtastic4 - Veg,Pizza Hut,3,Casual Dining',22:01:00,January,Friday,2022,Veg,Dinner,No,
2337155955,2022-01-04,₹414.62,"1 x Hyderabadi Chicken Dum Biryani Kabab Combo, 1 x Special Chicken Biryani Dessert Combo",Biryani Trip,4.1,NA,22:33:00,January,Tuesday,2022,Non Veg,Dinner,Yes,
2590043227,2022-01-03,₹167.68,"1 x Kota Kachori Piece, 2 x Alu Pyaz Kachori Piece, 1 x Moong Badam Halwa 100 gms, 1 x Alu Tikiya Plate",Falahaar & Kota Kachori,3.9,NA,18:12:00,January,Monday,2022,Veg,Snacks,No,
2888004400,2021-12-31,₹553.40,1 x New Year Red Velvet Cake,CakeZone,3.9,NA,23:03:00,December,Friday,2021,Veg,Dinner,No,
2179894037,2021-12-31,₹552,"1 x Moroccan Spice Pasta Pizza - Veg, 1 x Veg Parcel, 1 x Indi Chicken Tikka",Domino's Pizza,3.7,Quick Bites',21:30:00,December,Friday,2021,Non Veg,Dinner,No,
2192590590,2021-12-28,₹218.50,"3 x Masala Poha, 1 x Indori Poha",Poha On Wheels,4.4,NA,12:13:00,December,Tuesday,2021,Veg,Lunch,Yes,
3791899721,2021-12-27,₹282.90,"1 x Paneer Biryani (Serves 1), 1 x Veg Biryani (Serves 1)",LunchBox - Meals and Thalis,4.2,NA,20:52:00,December,Monday,2021,Veg,Dinner,Yes,
3892808299,2021-12-24,₹298.70,"1 x Paneer Kulcha with Pindi Chole, 1 x Paneer Kulcha with Paneer Butter Masala, 1 x 2 Aloo Kulcha",Kulcha Haveli,3.7,Quick Bites',15:19:00,December,Friday,2021,Veg,Lunch,No,
3225382867,2021-12-21,₹221.80,1 x Royal Butterscotch Sundae,Corner House Ice Creams,4.5,Dessert Parlor',22:37:00,December,Tuesday,2021,Veg,Dinner,Yes,
3560929321,2021-12-20,₹206.95,1 x Hyderabadi Chicken Biryani (bone Cut Pieces),Basmati Biriyani Nation,3.6,NA,15:46:00,December,Monday,2021,Non Veg,Lunch,No,
3893656091,2021-12-20,₹122.65,1 x Chole Kulcha Lunchbox,LunchBox - Meals and Thalis,4.2,NA,1:22:00,December,Monday,2021,Veg,Dinner,Yes,
2970291902,2021-11-30,₹182.45,1 x Shahi Punjabi Thali,Punjabi Nukkad Pure Veg,4.1,Quick Bites',22:22:00,November,Tuesday,2021,Veg,Dinner,Yes,
2174987154,2021-11-28,₹164.45,1 x Boneless Chicken Bagara Biryani,Andhra Gunpowder,4,NA,20:38:00,November,Sunday,2021,Non Veg,Dinner,Yes,
3128506303,2021-11-22,₹185.40,"1 x Ghee Loaded Moong Dal Khichdi, 1 x Aromatic Mix Veg Khichdi",Khichdi Express,4.1,NA,19:45:00,November,Monday,2021,Veg,Dinner,Yes,
3709651278,2021-11-16,₹132.95,1 x Power Protein Paneer Sandwich,FreshMenu,3.7,NA,22:30:00,November,Tuesday,2021,Veg,Dinner,No,
3572457161,2021-11-15,₹306.45,"1 x Peri Peri French Fries, 1 x Chicken Peri Peri Popcorn, 1 x Thums Up - 250 ml",Snack House,3.8,NA,0:07:00,November,Monday,2021,Non Veg,Dinner,No,
2254991320,2021-11-13,₹127.47,"1 x Kit Kat Waffle, 1 x Nutella Waffle",Wowffles,4,NA,19:40:00,November,Saturday,2021,Veg,Dinner,Yes,
2965673201,2021-11-11,₹111.31,2 x Desi Ghee Moong Dal Halwa,NH1 Bowls - Highway To North,4,NA,22:56:00,November,Thursday,2021,Veg,Dinner,Yes,
2306295191,2021-11-06,₹157.05,"1 x Crispy Veg Double Patty + Crispy Veg Double Patty, 1 x Crispy Veg Burger",Burger King,4.1,Quick Bites',20:01:00,November,Saturday,2021,Veg,Dinner,Yes,
3654261128,2021-11-06,₹165.45,1 x Peri Peri French Fries,Snack House,3.8,NA,1:43:00,November,Saturday,2021,Veg,Dinner,No,
3236719972,2021-11-05,₹257.60,"4 x Masala Poha, 1 x Dry Mini Kachori",Poha On Wheels,4,Quick Bites',12:30:00,November,Friday,2021,Veg,Lunch,Yes,
3368444074,2021-11-03,₹230.80,"1 x Kaju Katli, 1 x Gulab Jamun",Ahuja's Sweets,3.5,"Quick Bites', 'Sweet Shop'",10:10:00,November,Wednesday,2021,Veg,Breakfast,No,
3765340369,2021-11-01,₹215.40,1 x My Box (Veg) with Choco Sundae,Pizza Hut,3,Casual Dining',21:58:00,November,Monday,2021,Veg,Dinner,No,
3158608352,2021-11-01,₹518.80,"1 x Veggie Feast, 1 x Tandoori Onion, 1 x Creamy Garlic Breadsticks",Pizza Hut,4,Casual Dining',1:50:00,November,Monday,2021,Veg,Dinner,Yes,
2545235154,2021-10-31,₹358.70,1 x Vanilla Cake - Egg,CakeZone,3.9,NA,20:21:00,October,Sunday,2021,Veg,Dinner,No,
3811204795,2021-10-25,₹128.70,1 x Dilli Rajma Thali Meal,BOX8 - Desi Meals,4.2,NA,20:08:00,October,Monday,2021,Veg,Dinner,Yes,
2660887791,2021-10-24,₹480.97,"2 x Chicken Kassa, 11 x Chapathi",Sri Dalma,3.8,Quick Bites',21:36:00,October,Sunday,2021,Non Veg,Dinner,No,
2833972807,2021-10-17,₹142.95,1 x Sardarji's Special Non-veg Thali,Sardarji Londonwaley,3.9,NA,22:42:00,October,Sunday,2021,Veg,Dinner,No,
3830138294,2021-10-15,₹267.50,1 x Malai Barfi,Mithas,4.4,NA,12:24:00,October,Friday,2021,Veg,Lunch,Yes,
3199043801,2021-10-12,₹205.64,"1 x Special Paneer Tikka Masala, 2 x Butter Naan, 3 x Phulka",Punjabi Nawabi,4.1,Quick Bites',22:18:00,October,Tuesday,2021,Veg,Dinner,Yes,
2975740249,2021-10-10,₹324,"1 x Moroccan Spice Pasta Pizza - Veg, 1 x Veg Parcel, 1 x Tikka Masala Pasta Veg",Domino's Pizza,3.7,Quick Bites',21:12:00,October,Sunday,2021,Veg,Dinner,No,
2500677289,2021-10-04,₹165.70,"1 x Makhani waali Dal, 2 x 2 Garlic Kulcha",Kulcha Haveli,3.7,Quick Bites',16:35:00,October,Monday,2021,Veg,Snacks,No,
2530030237,2021-10-03,₹240.84,"1 x Alphonso Mango+Tender Coconut+Chocochips (100ML), 1 x French Vanilla Ice Cream 100ML, 1 x Gulab Jamun Ice Cream 100ML",NIC - Natural Ice Creams,4.6,NA,0:46:00,October,Sunday,2021,Veg,Dinner,Yes,
2888672423,2021-10-02,₹138.50,1 x Chicken Garlic Kebab Roll,Pathaan Sir,3.4,Quick Bites',14:40:00,October,Saturday,2021,Non Veg,Lunch,No,
2235310353,2021-09-30,₹225.36,"1 x Aloo Cheese Paratha, 1 x Mom's Masala Aloo Paratha",Paratha Envy,4.3,NA,11:47:00,September,Thursday,2021,Veg,Breakfast,Yes,
2723115259,2021-09-29,₹391.16,"1 x Veg Punjabi Thali, 1 x Kadai Paneer with 4 Butter Tandoori Roti",Bathinda Tandoor,3.8,Quick Bites',21:51:00,September,Wednesday,2021,Veg,Dinner,No,
2566262844,2021-09-26,₹116.63,1 x Rajma Chawal Lunchbox,LunchBox - Meals and Thalis,4.2,NA,17:12:00,September,Sunday,2021,Veg,Snacks,Yes,
2850548553,2021-09-20,₹234.88,"1 x Ghar wali Aloo Poori, 2 x Aloo Paratha",Singh Da Pind,3.7,NA,14:15:00,September,Monday,2021,Veg,Lunch,No,
2564625385,2021-09-17,₹210.12,"1 x Great Indian Veg Thali, 1 x Butter Naan",Bathinda Dine,3.8,Casual Dining',15:00:00,September,Friday,2021,Veg,Lunch,No,
2747443064,2021-09-14,₹127.62,"1 x North Indian Thali with Rasgulla Combo, 2 x Plain Paratha",Phulke Ghar Ke,4.2,Quick Bites',13:00:00,September,Tuesday,2021,Veg,Lunch,Yes,
2565573017,2021-09-02,₹190.02,"1 x Paneer Makhani Combo, 1 x Ghar wali Aloo Poori",Singh Da Pind,3.7,NA,23:22:00,September,Thursday,2021,Veg,Dinner,No,
3955873994,2021-08-28,₹138.30,"1 x Sarso Ka Saag With Makki Di Roti Meal, 1 x Makki Di Roti.",Bathinda Dine,3.8,Casual Dining',21:29:00,August,Saturday,2021,Veg,Dinner,No,
3319421442,2021-08-23,₹176.83,1 x Special Chicken Biryani Kabab Combo,Biryani Trip,4.1,NA,11:52:00,August,Monday,2021,Non Veg,Breakfast,Yes,
3307006393,2021-08-22,₹202.80,"3 x Masala Poha, 1 x Indori Poha",Poha On Wheels,4,Quick Bites',10:10:00,August,Sunday,2021,Veg,Breakfast,Yes,
2460252373,2021-08-21,₹155.38,"1 x Tawa Paneer Roll, 1 x Aloo Tikka Roll, 1 x Pulpy Grape Juice",Pathaan Sir,3.4,Quick Bites',22:04:00,August,Saturday,2021,Veg,Dinner,No,
3829924661,2021-08-15,₹307.50,"1 x Paneer Bhurji+3 Plain Paratha, 1 x Litti Chokha, 1 x North Indian Thali",Phulke Ghar Ke,4.2,Quick Bites',20:04:00,August,Sunday,2021,Veg,Dinner,Yes,
3579850647,2021-07-27,₹262.40,1 x Veg Singles Pizza Combo,Pizza Galleria,4.1,Quick Bites',18:04:00,July,Tuesday,2021,Veg,Snacks,Yes,
3420487197,2021-07-07,₹134.09,"1 x Peri Peri French Fries, 1 x Angoori Rasmalai",Snack House,3.8,NA,21:06:00,July,Wednesday,2021,Veg,Dinner,No,
3935768073,2021-07-05,₹213.26,"1 x Fried Paneer Momos [7 Pieces], 1 x Peri Peri French Fries",Snack House,3.8,NA,22:06:00,July,Monday,2021,Veg,Dinner,No,
3325158207,2021-07-04,₹217.98,1 x Special Chicken Biryani Kabab Combo,Biryani Trip,4,NA,21:10:00,July,Sunday,2021,Non Veg,Dinner,Yes,
3817837704,2021-07-04,₹495.97,1 x Boneless Special Chicken Biryani,Hyderabadi Biryani Hub,3.9,NA,14:19:00,July,Sunday,2021,Non Veg,Lunch,No,
2525333692,2021-07-04,₹216.59,"1 x Special Paneer Tikka Masala, 2 x Butter Tandoori Roti, 1 x Butter Naan, 1 x Tandoori Roti, 1 x Phulka",Punjabi Nawabi,4.1,Quick Bites',14:12:00,July,Sunday,2021,Veg,Lunch,Yes,
3219466306,2021-07-02,₹208.50,"1 x Sarso Ka Saag with Makki ki Roti and Dessert, 2 x Makki Ki Roti",Punjabi Nawabi,4.1,Quick Bites',21:07:00,July,Friday,2021,Veg,Dinner,Yes,
3878294214,2021-07-01,₹172,"1 x Death by Chocolate Sundae, 1 x Chocolate Ice Cream",Corner House Ice Creams,4.5,Dessert Parlor',23:11:00,July,Thursday,2021,Veg,Dinner,Yes,
3044346080,2021-07-01,₹481.70,1 x Funtastic4 - Veg,Pizza Hut,3.8,Casual Dining',14:39:00,July,Thursday,2021,Veg,Lunch,No,
3045093236,2021-06-26,₹156.58,1 x Rasmalai Sweet,CakeZone,3.9,NA,22:26:00,June,Saturday,2021,Veg,Dinner,No,
3617201581,2021-06-26,₹176.50,"2 x Watermelon Juice, 1 x Mango Smoothie, 1 x Masala Lime Juice, 1 x Fresh Lime Juice",Lassi Shop,4,NA,11:28:00,June,Saturday,2021,Veg,Breakfast,Yes,
3699737486,2021-06-20,₹210.40,1 x Vanilla Cake [500 gm],Mitthan Sweets and Bakers,3.9,Sweet Shop',12:36:00,June,Sunday,2021,Veg,Lunch,No,
3488403086,2021-06-17,₹235.27,"1 x Paneer Kulcha with Pindi Chole, 1 x Plain Kulcha with Dal Makhani, 1 x 2 Aloo Kulcha",Kulcha Haveli,3.7,Quick Bites',22:16:00,June,Thursday,2021,Veg,Dinner,No,
2347305665,2021-06-06,₹120.25,4 x Samosa (1pc),Chaat Street,4,Quick Bites',17:02:00,June,Sunday,2021,Veg,Snacks,Yes,
3499759637,2021-05-30,₹173.32,"2 x Ras Malai Piece, 1 x Alu Tikiya Plate, 1 x Gulab Jamun Plate, 1 x Alu Pyaz Kachori Piece, 1 x Kota Kachori Piece",Falahaar & Kota Kachori,3.9,NA,16:35:00,May,Sunday,2021,Veg,Snacks,No,
3458498950,2021-05-30,₹121,"1 x 2 Idly Vada, 1 x Masala Dosa, 1 x 2 Vada",Asha Tiffins,4.3,Quick Bites',10:51:00,May,Sunday,2021,Veg,Breakfast,Yes,
2179404558,2021-05-16,₹232.35,"1 x Paneer Manchurian [Dry], 1 x Paneer Capsicum Noodles, 1 x Chilli Garlic Noodles, 1 x Kulcha",Asha Tiffins,4.3,Quick Bites',20:33:00,May,Sunday,2021,Veg,Dinner,Yes,
3574033638,2021-05-09,₹357.50,1 x Black Forest Cake (500gms),Mumma's Bakery & Cakery,3.9,"Bakery', 'Casual Dining'",10:54:00,May,Sunday,2021,Veg,Breakfast,No,
2554576212,2021-04-25,₹522.04,"1 x Paneer Tikka Masala, 1 x Paneer Chilli, 2 x Butter Naan, 1 x Missi Roti, 1 x Tandoori Roti",Bathinda Station,4,Casual Dining',20:22:00,April,Sunday,2021,Veg,Dinner,Yes,
